subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (22).jpg,0.746986947898089,0.8363141937616014,0.9703776041666666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (23).jpg,0.7275194790505393,0.8182927550856682,0.9742296006944444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (24).jpg,0.7569008549955195,0.8434769453940827,0.9776204427083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (25).jpg,0.744206260045406,0.832959413970932,0.9753960503472222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (1).jpg,0.1708277234569036,0.2581844823674016,0.3371310763888889,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (2).jpg,0.1103424377704805,0.1831061347732859,0.2179090711805555,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (3).jpg,0.0882445398983163,0.1520690697194061,0.1740993923611111,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (4).jpg,0.0812406869282617,0.1416972053984573,0.1602647569444444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (5).jpg,0.0915766363812995,0.1569786236508753,0.1806098090277778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (6).jpg,0.165638020890654,0.2528006778055692,0.3262261284722222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
